db_name,my_name
BIOTIN,biotin
CALCIUM,calcium
AMYLOSE,carbohydrates
CARBOHYDRATE,carbohydrates
CARBOHYDRATE|CARBOHYDRATES,carbohydrates
CARBOHYDRATES,carbohydrates
STARCH,carbohydrates
SUCROSE,carbohydrates
SUCROSE|SUGAR,carbohydrates
SUGAR,carbohydrates
SUGARS,carbohydrates
CHLORIDE,chloride
CHROMIUM,chromium
COPPER,copper
FAT,fat
FLUORIDE,fluoride
HISTIDINE,histifine
IODINE,iodine
IRON,iron
ISOLEUCINE,isoleucine
ISOLINOLEIC-ACID,isoleucine
LEUCINE,leucine
LYSINE,lysine
MAGNESIUM,magnesium
MANGANESE,manganese
METHIONINE,methionine
MOLYBDENUM,molybdenum
ALANINE,NA
ASH,NA
BETA-CAROTENE,NA
CALCIUM-OXALATE,NA
CALCIUM-OXIDE,NA
CAROTENOIDS,NA
CRYPTOXANTHIN,NA
GLYCINE,NA
INVERT-SUGAR,NA
IRON-OXIDE,NA
LUTEIN,NA
PECTIN,NA
POTASSIUM-OXIDE,NA
TANNIN,NA
TYROSINE,NA
WATER,NA
NIACIN,niacin
NIACIN|NICOTINIC-ACID,niacin
PANTOTHENIC-ACID,pantothenate
PHENYLALANINE,phenylalanine
PHOSPHORUS,phosphorus
POTASSIUM,potassium
PROLINE,proline
PROTEIN,protein
PROTEIN|PROTEINS,protein
RIBOFLAVIN,riboflavin
RIBOFLAVIN|VITAMIN-B-2,riboflavin
SELENIUM,selenium
SODIUM,sodium
THIAMIN,thiamin
THIAMIN|THIAMINE,thiamin
THIAMIN|VITAMIN-B-1,thiamin
THIAMINE,thiamin
THREONINE,threonine
TRYPTOPHAN,tryptophan
VALINE,valine
PYRIDOXINE,vitamin-b6
PYRIDOXINE|VIT-B-6,vitamin-b6
VITAMIN-B-6,vitamin-b6
VIT-B-6,vitamin-b6
ASCORBATE|ASCORBIC-ACID,vitamin-c
ASCORBIC-ACID,vitamin-c
ALPHA-TOCOPHEROL,vitamin-e
TOCOPHEROL,vitamin-e
TOCOPHEROLS,vitamin-e
VIT-E,vitamin-e
VITAMIN-K-1,vitamin-k
ZINC,zinc
(-)-QUERBRACHITOL,NA
