,food,ALPHA-TOCOPHEROL,AMYLOSE,ASCORBATE|ASCORBIC-ACID,ASCORBIC-ACID,BIOTIN,CALCIUM,CARBOHYDRATE,CARBOHYDRATES,CARBOHYDRATE|CARBOHYDRATES,CHLORIDE,CHROMIUM,COPPER,FAT,FLUORIDE,HISTIDINE,IODINE,IRON,ISOLEUCINE,ISOLINOLEIC-ACID,LEUCINE,LYSINE,MAGNESIUM,MANGANESE,METHIONINE,MOLYBDENUM,NIACIN,NIACIN|NICOTINIC-ACID,PANTOTHENIC-ACID,PHENYLALANINE,PHOSPHORUS,POTASSIUM,PROLINE,PROTEIN,PROTEIN|PROTEINS,PYRIDOXINE,PYRIDOXINE|VIT-B-6,RIBOFLAVIN,RIBOFLAVIN|VITAMIN-B-2,SELENIUM,SODIUM,STARCH,SUCROSE,SUCROSE|SUGAR,SUGAR,SUGARS,THIAMIN,THIAMINE,THIAMIN|THIAMINE,THIAMIN|VITAMIN-B-1,THREONINE,TOCOPHEROL,TOCOPHEROLS,TRYPTOPHAN,VALINE,VIT-B-6,VIT-E,VITAMIN-B-6,VITAMIN-K-1,ZINC
0,Aceituna Dulce,0.0,0,0.0,133.0,0.0,92.0,0,91400.0,0,0.0,0.0,1.4,1840.0,0.0,0.0,0.0,11.3,0.0,0.0,0.0,0.0,214.5,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,670.5,0.0,5600.0,0,0.0,0.0,0.07,0.0,0.0,160.5,0.0,0.0,0,0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Almond,27.5,0,0.0,1.3,0.0,296.2,0,0.0,24300,0.0,0.17,1.1,62100.0,0.0,583.7,0.02,6.0,905.8,0.0,1623.4,696.6,312.6,3.2,0.0,0.03,6.3,0.0,0.5,1164.2,873.5,856.0,1312.7,35000.0,0,0.0,0.0,0.97,0.0,0.6,14.7,0.0,0.0,10000,0,0.0,0.26,0.0,0.0,0.0,773.0,0.0,0.0,374.5,1075.2,0.1,0.0,0.0,0.0,3.7
2,American Cranberry,8.1,0,0.0,100.3,0.0,115.7,0,94205.0,0,0.0,0.008,0.47,5800.0,0.0,0.0,0.0,4.1,0.0,0.0,0.0,0.0,69.0,20.0,0.0,0.07,0.83,0.0,1.6,0.0,107.5,677.7,0.0,3300.0,0,0.0,0.0,0.17,0.0,0.0,16.5,0.0,0.0,0,0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.0,1.9
3,American Persimmon,0.0,0,0.0,185.5,0.0,1035.9333333333334,0,94100.0,0,0.0,0.185,5.775,1861.5,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,520.0,129.0,0.0,0.108,0.0,0.0,0.0,0.0,160.73333333333332,1363.6666666666667,0.0,6123.5,0,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.35
4,Apple,3.7,0,0.0,40.2,0.0,57.0,0,94855.0,0,0.0,0.03,0.4,13210.0,0.0,18.7,0.0,12.3,49.7,0.0,74.6,74.6,47.8,2.9,12.4,0.043,0.7,0.0,0.4,31.1,92.5,1214.0,43.5,1280.0,0,0.0,0.0,0.1,0.0,0.0,13.3,0.0,0.0,16600,0,0.0,0.2,0.0,0.0,0.0,43.5,0.0,0.0,12.4,56.0,0.3,0.0,0.0,0.0,3.5
5,Apricot,0.0,0,0.0,74.5,0.0,171.05,0,50650.0,0,0.0,0.0,1.6,27750.0,0.0,198.0,0.005,6.35,300.0,0.0,564.0,710.5,118.25,1.1,44.0,0.0,3.9,0.0,1.76,381.0,299.1,1517.4,740.0,22100.0,0,0.0,0.0,0.485,0.0,0.0,5.3500000000000005,0.0,5400.0,0,0,0.0,0.2,0.0,0.0,0.0,344.5,0.0,0.0,110.0,344.5,0.4,0.0,0.0,0.0,3.8
6,Arrowroot,0.0,0,0.0,21.5,0.0,46.7,0,91100.0,0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,56.1,0.0,0.0,5600.0,0,0.0,0.0,0.07,0.0,0.0,0.0,69500.0,0.0,0,0,6300.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Asparagus,0.0,0,0.0,571.4,0.0,384.0,0,60200.0,0,0.0,0.07,2.4,4100.0,0.0,606.5,0.0,24.0,1445.2,0.0,1716.1,1871.0,700.0,10.0,374.2,0.18,36.6,0.0,2.24,929.0,1024.4,5520.0,2090.3,39484.0,0,0.0,0.0,3.6,0.0,0.0078,68.5,0.0,0.0,0,1500,0.0,2.6,0.0,0.0,0.0,1096.8,25.6,0.0,387.1,1522.6,0.0,0.0,0.0,0.0,12.4
8,Aubergine,0.0,0,0.0,337.8,0.0,1219.1,0,64800.0,0,0.0,0.012,2.0,9300.0,0.0,309.8,0.0,63.85,594.8,0.0,855.0,632.0,156.3,4.0,148.7,0.056,9.8,0.0,1.0,570.0,431.5,3200.0,570.0,26900.0,0,0.0,0.0,0.88,0.0,0.0002,215.0,0.0,0.0,3000,0,0.0,1.0,0.0,0.0,0.0,495.7,0.0,0.0,123.9,706.3,1.16,0.0,0.0,0.0,2.56
9,Avocado,4.9,0,0.0,99.4,0.04,96.4,0,62900.0,0,0.0,0.0,1.1,86400.0,0.0,112.7,0.0,7.1,275.9,0.0,478.0,365.3,174.0,1.0,143.8,0.0,10.1,0.0,3.77,264.3,303.0,2747.0,299.3,8100.0,0,0.0,2.3,0.77,0.0,0.0,52.0,0.0,0.0,0,0,0.0,0.42,0.0,0.0,0.0,256.5,0.0,0.0,81.6,377.0,0.0,0.0,0.0,0.0,1.6
